Lat,Lon,VSM,TAV,TAH,Tsoil,Tveg,VWC,S%,C%,VSM_err
49.3709,-97.7567,0.273,271.81,224.77,19.8,19.8,0.69,0.1,0.65,0.0143
49.3709,-97.7516,0.2725,271.81,226.27,19.8,19.8,0.63,0.1,0.65,0.0147
49.3769,-98.1198,0.2459,273.61,249.58,19.6,19.6,1.86,0.16,0.58,0.0148
49.3769,-98.1146,0.2702,273.12,251.18,19.6,19.6,1.92,0.16,0.58,0.0153
49.3769,-98.1094,0.3108,271.82,253.84,19.6,19.6,2.17,0.16,0.58,0.0242
49.3769,-98.1043,0.34,271.63,255.29,19.6,19.6,2.68,0.16,0.58,0.0234
49.3769,-98.0991,0.3503,272.39,254.39,19.6,19.6,2.91,0.16,0.57,0.0353
49.3769,-98.0939,0.3457,273.13,251.94,19.6,19.6,2.97,0.13,0.61,0.0232
49.3769,-98.0887,0.3427,272.79,248.96,19.6,19.6,2.78,0.1,0.65,0.0259
49.3769,-98.0835,0.3466,272.19,247.55,19.6,19.6,2.73,0.1,0.65,0.023
49.3769,-98.0783,0.3332,274.03,249.06,19.6,19.6,2.88,0.11,0.64,0.0239
49.3769,-98.0731,0.2971,277.0,253.12,19.6,19.6,3.05,0.14,0.62,0.0243
49.3769,-98.0679,0.282,277.54,255.72,19.6,19.6,3.15,0.17,0.6,0.0241
49.3769,-98.0628,0.2913,276.72,255.35,19.6,19.6,3.24,0.19,0.59,0.0277
49.3769,-98.0576,0.3112,276.24,254.66,19.5,19.5,3.4,0.21,0.57,0.0371
49.3769,-98.0524,0.3144,276.46,254.5,19.5,19.5,3.09,0.25,0.54,0.028
49.3769,-98.0472,0.256,276.91,254.31,19.5,19.5,2.62,0.29,0.51,0.019
49.3769,-98.042,0.2163,276.78,253.01,19.5,19.5,2.13,0.29,0.5,0.0155
49.3769,-98.0368,0.2127,275.96,250.91,19.5,19.5,2.03,0.27,0.5,0.0131
49.3769,-98.0316,0.2451,274.29,249.07,19.5,19.5,2.16,0.22,0.54,0.016
49.3769,-98.0265,0.2769,272.53,247.28,19.5,19.5,2.23,0.16,0.59,0.0185
49.3769,-98.0213,0.2717,272.7,245.89,19.5,19.5,1.83,0.13,0.61,0.0152
49.3769,-98.0161,0.2368,274.18,246.12,19.5,19.5,1.29,0.12,0.62,0.0211
49.3769,-98.0109,0.218,274.56,246.52,19.5,19.5,0.91,0.15,0.59,0.0165
49.3769,-98.0057,0.2231,274.61,246.28,19.5,19.5,0.8,0.18,0.56,0.0143
49.3769,-98.0005,0.2213,275.14,246.53,19.6,19.6,0.77,0.21,0.53,0.0144
49.3769,-97.9953,0.2055,276.1,247.1,19.6,19.6,0.97,0.23,0.5,0.0153
49.3769,-97.9901,0.1954,276.85,247.87,19.6,19.6,1.33,0.22,0.49,0.0203
49.3769,-97.985,0.1926,275.81,249.01,19.6,19.6,1.38,0.21,0.51,0.0266
49.3769,-97.9798,0.2023,274.84,249.69,19.6,19.6,1.32,0.2,0.53,0.0186
49.3769,-97.9746,0.2228,273.87,249.15,19.6,19.6,1.1,0.19,0.54,0.0188
49.3769,-97.9694,0.2366,273.48,248.25,19.6,19.6,0.92,0.18,0.56,0.0159
49.3769,-97.9642,0.2178,274.99,248.4,19.6,19.6,1.14,0.21,0.52,0.0155
49.3769,-97.959,0.2167,277.15,249.31,19.6,19.6,1.72,0.23,0.51,0.0308
49.3769,-97.9538,0.2292,277.82,249.96,19.6,19.6,2.38,0.27,0.47,0.0163
49.3769,-97.9487,0.252,276.73,250.11,19.6,19.6,3.05,0.33,0.43,0.0254
49.3769,-97.9435,0.2479,276.12,249.77,19.6,19.6,3.39,0.37,0.4,0.029
49.3769,-97.9383,0.2345,275.72,248.89,19.6,19.6,3.0,0.4,0.39,0.0185
49.3769,-97.9331,0.2469,274.95,247.37,19.6,19.6,2.4,0.34,0.46,0.0143
49.3769,-97.9279,0.2582,274.5,245.58,19.6,19.6,1.94,0.27,0.52,0.0156
49.3769,-97.9227,0.2678,274.61,244.99,19.6,19.6,1.79,0.16,0.6,0.0128
49.3769,-97.9175,0.2709,275.43,245.48,19.6,19.6,1.96,0.1,0.65,0.0125
49.3769,-97.9123,0.2682,276.5,244.66,19.6,19.6,2.32,0.1,0.64,0.0168
49.3769,-97.9072,0.2771,276.62,242.45,19.6,19.6,2.73,0.11,0.64,0.0178
49.3769,-97.902,0.2926,276.38,242.23,19.6,19.6,3.12,0.11,0.64,0.0267
49.3769,-97.8968,0.3041,275.13,243.58,19.6,19.6,3.32,0.14,0.61,0.0251
49.3769,-97.8916,0.2962,274.0,245.99,19.6,19.6,3.25,0.17,0.57,0.0297
49.3769,-97.8864,0.276,275.47,247.76,19.7,19.7,3.17,0.16,0.57,0.0265
49.3769,-97.8812,0.2638,277.22,247.93,19.7,19.7,3.15,0.16,0.58,0.0215
49.3769,-97.876,0.257,278.82,248.46,19.7,19.7,2.98,0.14,0.61,0.0181
49.3769,-97.8709,0.222,281.66,250.44,19.8,19.8,2.65,0.12,0.64,0.0176
49.3769,-97.8657,0.1724,283.98,253.24,19.8,19.8,2.22,0.1,0.65,0.0172
49.3769,-97.8605,0.1938,281.81,253.97,19.8,19.8,1.67,0.1,0.65,0.0317
49.3769,-97.8553,0.2106,280.05,253.22,19.8,19.8,1.29,0.1,0.65,0.0296
49.3769,-97.8501,0.199,280.37,251.81,19.8,19.8,1.23,0.12,0.63,0.0252
49.3769,-97.8449,0.1951,280.5,250.36,19.8,19.8,1.47,0.16,0.59,0.0294
49.3769,-97.8397,0.2223,279.19,247.81,19.8,19.8,1.82,0.17,0.58,0.0123
49.3769,-97.8345,0.255,278.24,243.9,19.8,19.8,2.01,0.14,0.61,0.0124
49.3769,-97.8294,0.2528,277.76,239.27,19.8,19.8,1.85,0.12,0.63,0.0147
49.3769,-97.8242,0.2502,276.93,236.8,19.8,19.8,1.35,0.1,0.65,0.0244
49.3769,-97.819,0.248,276.29,236.86,19.8,19.8,1.03,0.1,0.64,0.0163
49.3769,-97.8138,0.256,275.7,237.64,19.8,19.8,1.15,0.1,0.64,0.0174
49.3769,-97.8086,0.2645,275.77,237.12,19.8,19.8,1.58,0.1,0.65,0.0246
49.3769,-97.8034,0.2407,277.89,234.69,19.8,19.8,1.65,0.1,0.65,0.029
49.3769,-97.7982,0.1909,280.46,232.71,19.8,19.8,1.3,0.1,0.65,0.0208
49.3769,-97.7931,0.1723,280.65,232.28,19.8,19.8,0.77,0.1,0.65,0.0154
49.3769,-97.7879,0.1932,278.44,231.4,19.8,19.8,0.46,0.1,0.65,0.0125
49.3769,-97.7827,0.2253,276.21,230.34,19.8,19.8,0.58,0.1,0.65,0.0138
49.3769,-97.7775,0.248,274.73,229.06,19.8,19.8,0.88,0.1,0.65,0.013
49.3769,-97.7723,0.27,273.14,225.9,19.8,19.8,1.17,0.11,0.64,0.0205
49.3769,-97.7671,0.2873,271.59,223.27,19.8,19.8,1.2,0.11,0.64,0.0221
49.3769,-97.7619,0.2852,271.15,223.88,19.8,19.8,0.98,0.11,0.64,0.0195
49.3769,-97.7567,0.272,271.69,226.39,19.8,19.8,0.73,0.11,0.64,0.0127
49.3769,-97.7516,0.2684,272.07,228.31,19.8,19.8,0.61,0.1,0.65,0.0126
49.3829,-98.1198,0.2555,276.73,253.08,19.6,19.6,2.12,0.1,0.65,0.0132
49.3829,-98.1146,0.2803,274.81,253.79,19.6,19.6,2.15,0.1,0.64,0.0163
49.3829,-98.1094,0.3128,272.79,254.69,19.6,19.6,2.29,0.11,0.64,0.0187
49.3829,-98.1043,0.3474,272.52,254.92,19.6,19.6,2.73,0.11,0.63,0.0237
49.3829,-98.0991,0.3538,272.63,253.78,19.6,19.6,2.83,0.11,0.64,0.0355
49.3829,-98.0939,0.3395,272.53,251.64,19.6,19.6,2.59,0.1,0.65,0.0227
49.3829,-98.0887,0.3239,271.64,249.4,19.6,19.6,2.2,0.1,0.65,0.0169
49.3829,-98.0835,0.3273,270.8,248.7,19.6,19.6,2.12,0.1,0.65,0.0162
49.3829,-98.0783,0.3249,272.52,250.41,19.6,19.6,2.39,0.11,0.64,0.0198
49.3829,-98.0731,0.2999,275.84,254.08,19.6,19.6,2.81,0.12,0.63,0.0264
49.3829,-98.0679,0.2948,276.68,256.36,19.6,19.6,3.15,0.14,0.62,0.0267
49.3829,-98.0628,0.3067,275.73,255.97,19.6,19.6,3.18,0.16,0.6,0.0256
49.3829,-98.0576,0.2958,275.24,255.08,19.5,19.5,3.01,0.18,0.58,0.0238
49.3829,-98.0524,0.2784,275.46,254.36,19.5,19.5,2.62,0.27,0.5,0.0237
49.3829,-98.0472,0.2511,275.75,253.63,19.5,19.5,2.44,0.31,0.46,0.0189
49.3829,-98.042,0.235,275.45,252.44,19.5,19.5,2.31,0.32,0.45,0.0195
49.3829,-98.0368,0.2471,274.84,250.56,19.5,19.5,2.42,0.31,0.47,0.0165
49.3829,-98.0316,0.2705,273.98,248.81,19.5,19.5,2.59,0.25,0.51,0.0153
49.3829,-98.0265,0.3296,272.8,247.24,19.5,19.5,2.79,0.2,0.55,0.0265
49.3829,-98.0213,0.2945,272.85,246.33,19.5,19.5,2.38,0.18,0.55,0.0189
49.3829,-98.0161,0.2482,273.94,247.19,19.5,19.5,1.78,0.18,0.55,0.0312
49.3829,-98.0109,0.2086,273.82,247.3,19.5,19.5,0.97,0.22,0.51,0.0158
49.3829,-98.0057,0.1903,273.7,245.92,19.5,19.5,0.57,0.26,0.46,0.0094
49.3829,-98.0005,0.1889,274.55,245.45,19.6,19.6,0.63,0.28,0.44,0.0103
49.3829,-97.9953,0.1858,276.23,246.19,19.6,19.6,1.07,0.27,0.45,0.0147
49.3829,-97.9901,0.1851,277.65,247.77,19.6,19.6,1.54,0.21,0.51,0.0152
49.3829,-97.985,0.2234,276.76,249.16,19.6,19.6,1.75,0.17,0.56,0.0118
49.3829,-97.9798,0.2416,275.27,249.08,19.6,19.6,1.89,0.17,0.56,0.0112
49.3829,-97.9746,0.2419,273.96,247.93,19.6,19.6,1.63,0.21,0.51,0.0296
49.3829,-97.9694,0.2314,273.67,246.31,19.6,19.6,1.16,0.22,0.49,0.0167
49.3829,-97.9642,0.2064,275.28,245.89,19.6,19.6,0.92,0.24,0.48,0.0165
49.3829,-97.959,0.2005,276.96,247.56,19.6,19.6,1.07,0.24,0.48,0.0151
49.3829,-97.9538,0.1996,277.12,249.52,19.6,19.6,1.54,0.3,0.44,0.022
49.3829,-97.9487,0.2077,276.7,249.05,19.6,19.6,2.05,0.33,0.42,0.0373
49.3829,-97.9435,0.214,276.54,248.39,19.6,19.6,2.41,0.35,0.41,0.0146
49.3829,-97.9383,0.2109,276.45,248.13,19.6,19.6,2.33,0.3,0.47,0.0151
49.3829,-97.9331,0.2284,276.43,247.73,19.6,19.6,2.04,0.24,0.52,0.0373
49.3829,-97.9279,0.2448,275.56,247.0,19.6,19.6,1.69,0.18,0.57,0.0342
49.3829,-97.9227,0.2781,273.2,246.15,19.6,19.6,1.52,0.12,0.63,0.0315
49.3829,-97.9175,0.2941,272.27,246.3,19.6,19.6,1.87,0.13,0.62,0.0171
49.3829,-97.9123,0.299,273.06,247.13,19.6,19.6,2.47,0.12,0.62,0.0181
49.3829,-97.9072,0.2915,274.84,247.19,19.6,19.6,3.06,0.13,0.62,0.025
49.3829,-97.902,0.2828,276.44,247.55,19.6,19.6,3.58,0.15,0.59,0.0274
49.3829,-97.8968,0.2775,277.01,248.06,19.6,19.6,3.57,0.17,0.56,0.0211
49.3829,-97.8916,0.2871,276.73,247.75,19.6,19.6,3.67,0.18,0.55,0.0257
49.3829,-97.8864,0.2866,276.52,246.57,19.7,19.7,3.46,0.18,0.55,0.0243
49.3829,-97.8812,0.2776,276.87,245.76,19.7,19.7,2.98,0.14,0.6,0.022
49.3829,-97.876,0.2511,278.05,245.49,19.8,19.8,2.39,0.11,0.63,0.0143
49.3829,-97.8709,0.2185,280.47,246.33,19.8,19.8,1.92,0.1,0.65,0.0165
49.3829,-97.8657,0.203,281.88,247.7,19.8,19.8,1.84,0.1,0.65,0.0141
49.3829,-97.8605,0.2323,280.07,247.66,19.8,19.8,1.82,0.1,0.65,0.0133
49.3829,-97.8553,0.2373,279.35,246.6,19.8,19.8,1.91,0.1,0.65,0.0127
49.3829,-97.8501,0.2233,280.27,245.35,19.8,19.8,1.84,0.13,0.62,0.0152
49.3829,-97.8449,0.2058,280.23,243.88,19.8,19.8,1.84,0.15,0.6,0.0154
49.3829,-97.8397,0.2287,278.71,242.08,19.8,19.8,1.88,0.16,0.59,0.0119
49.3829,-97.8345,0.238,278.11,240.3,19.8,19.8,1.74,0.16,0.6,0.0135
49.3829,-97.8294,0.246,278.01,237.88,19.8,19.8,1.62,0.13,0.62,0.0313
49.3829,-97.8242,0.2453,277.62,235.8,19.8,19.8,1.39,0.11,0.63,0.0243
